"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"xsycon.nlogo"
"x-sycon experiment"
"10/20/2025 04:45:57:960 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"num-carriers","p-new-DE","max-blocked-frac","kappa","run-seed","[step]","(mean) service-throughput","(std) service-throughput","(mean) miss-rate","(std) miss-rate","(mean) mean-ttfr","(std) mean-ttfr","(mean) mean-latency","(std) mean-latency","(mean) energy-per-task","(std) energy-per-task","(mean) coverage-entropy","(std) coverage-entropy","(mean) field-mean","(std) field-mean","(mean) field-var","(std) field-var"
"10","0.02","0.1","0.5","1","5000","0.0154","N/A","0.18627450980392157","N/A","142.8395061728395","N/A","283.9583333333333","N/A","646.4805194805194","N/A","4.2003339550584435","N/A","0.6506841203580468","N/A","3.370806596209595","N/A"
"10","0.02","0.1","0.5","2","5000","0.0148","N/A","0.22857142857142856","N/A","146.52702702702703","N/A","326.31632653061223","N/A","670.4459459459459","N/A","4.4569145679869955","N/A","0.7648229502824248","N/A","3.742250353267612","N/A"
"10","0.02","0.1","0.5","3","5000","0.0196","N/A","0.08108108108108109","N/A","140.23","N/A","243.34579439252337","N/A","508.68367346938777","N/A","4.289524103499635","N/A","0.5981521139385936","N/A","2.983578202633034","N/A"
"10","0.02","0.1","0.5","4","5000","0.017","N/A","0.09900990099009901","N/A","135.27586206896552","N/A","237.50526315789475","N/A","585.0588235294117","N/A","4.43128487783633","N/A","0.5181830191889046","N/A","2.5900492410907376","N/A"
"10","0.02","0.1","0.5","5","5000","0.015","N/A","0.1368421052631579","N/A","138.03896103896105","N/A","261.5","N/A","664.16","N/A","4.250302595281552","N/A","0.5577103879288849","N/A","2.83996245509385","N/A"
"10","0.02","0.1","0.5","6","5000","0.012","N/A","0.16455696202531644","N/A","166.13114754098362","N/A","306.35616438356163","N/A","829.1","N/A","4.016329822315528","N/A","0.5188154954954288","N/A","2.6075838333105663","N/A"
"10","0.02","0.1","0.5","7","5000","0.013","N/A","0.20224719101123595","N/A","133.3939393939394","N/A","297.5542168674699","N/A","767.2153846153847","N/A","4.108758987998844","N/A","0.5726111496692304","N/A","2.8757812844650847","N/A"
"10","0.02","0.1","0.5","8","5000","0.0166","N/A","0.09278350515463918","N/A","120.39759036144578","N/A","236.8586956521739","N/A","600.2168674698795","N/A","4.432468875888727","N/A","0.49675244328146845","N/A","2.5163860430187497","N/A"
"10","0.02","0.1","0.5","9","5000","0.0206","N/A","0.09243697478991597","N/A","118.41904761904762","N/A","226.3684210526316","N/A","483.06796116504853","N/A","4.357268385692662","N/A","0.5643772002721891","N/A","2.828470445207198","N/A"
"10","0.02","0.1","0.5","10","5000","0.016","N/A","0.23893805309734514","N/A","177.95180722891567","N/A","350.42056074766356","N/A","623.375","N/A","4.071823385281104","N/A","0.8805097999805326","N/A","4.35855839837609","N/A"
"10","0.02","0.1","0.8","1","5000","0.0118","N/A","0.26506024096385544","N/A","159.3548387096774","N/A","337.5432098765432","N/A","845.1864406779661","N/A","4.11316023515861","N/A","0.6272417867641213","N/A","3.288783380247395","N/A"
"10","0.02","0.1","0.8","2","5000","0.014","N/A","0.14893617021276595","N/A","94.63380281690141","N/A","248.25","N/A","712.0571428571428","N/A","4.075557837026222","N/A","0.49302698294468283","N/A","2.474658260830024","N/A"
"10","0.02","0.1","0.8","3","5000","0.0166","N/A","0.15151515151515152","N/A","120.88235294117646","N/A","255.39795918367346","N/A","599.3253012048193","N/A","4.3184078975959705","N/A","0.5341465680794505","N/A","2.7009487343469063","N/A"
"10","0.02","0.1","0.8","4","5000","0.017","N/A","0.17857142857142858","N/A","137.4022988505747","N/A","293.1904761904762","N/A","586","N/A","4.285922320615043","N/A","0.7469267508779346","N/A","3.8423064022092737","N/A"
"10","0.02","0.1","0.8","5","5000","0.013","N/A","0.20454545454545456","N/A","132.0909090909091","N/A","299.2048192771084","N/A","767.6923076923077","N/A","4.149987110328665","N/A","0.5770220240661087","N/A","2.759229028766999","N/A"
"10","0.02","0.1","0.8","6","5000","0.012","N/A","0.27956989247311825","N/A","117.42622950819673","N/A","331.5581395348837","N/A","830.6666666666666","N/A","4.022577484353263","N/A","0.7075676869012515","N/A","3.811679174955097","N/A"
"10","0.02","0.1","0.8","7","5000","0.0162","N/A","0.19047619047619047","N/A","161.86904761904762","N/A","304.7227722772277","N/A","615.4938271604939","N/A","4.012778208658391","N/A","0.7189320235517014","N/A","3.7403598771361075","N/A"
"10","0.02","0.1","0.8","8","5000","0.0156","N/A","0.22115384615384615","N/A","138.7","N/A","310.28712871287127","N/A","639.4230769230769","N/A","4.142764133702721","N/A","0.7414893846838426","N/A","3.7395193805784475","N/A"
"10","0.02","0.1","0.8","9","5000","0.0164","N/A","0.17475728155339806","N/A","149.9156626506024","N/A","292.51","N/A","607.1341463414634","N/A","4.209985348043314","N/A","0.6537070904047643","N/A","3.1603395257042326","N/A"
"10","0.02","0.1","0.8","10","5000","0.0186","N/A","0.13675213675213677","N/A","159.05263157894737","N/A","299.3761467889908","N/A","536.3548387096774","N/A","4.273726809984422","N/A","0.800197790641382","N/A","4.022527336542551","N/A"
"10","0.02","0.1","1.2","1","5000","0.0112","N/A","0.3010752688172043","N/A","133.56140350877192","N/A","362.5833333333333","N/A","891.6428571428571","N/A","4.039883539164298","N/A","0.733424368291877","N/A","3.7158191759724852","N/A"
"10","0.02","0.1","1.2","2","5000","0.0142","N/A","0.24752475247524752","N/A","146.73333333333332","N/A","321.8333333333333","N/A","702.5070422535211","N/A","3.993650799148715","N/A","0.7379757184542526","N/A","3.743872074389529","N/A"
"10","0.02","0.1","1.2","3","5000","0.0146","N/A","0.20833333333333334","N/A","148.98666666666668","N/A","320","N/A","684.1917808219179","N/A","4.222528124487697","N/A","0.6976375855676088","N/A","3.5187435441373434","N/A"
"10","0.02","0.1","1.2","4","5000","0.0154","N/A","0.1981981981981982","N/A","128.126582278481","N/A","295.26262626262627","N/A","647.5584415584416","N/A","4.111382244033222","N/A","0.7549923193660999","N/A","3.6373778084450032","N/A"
"10","0.02","0.1","1.2","5","5000","0.014","N/A","0.23469387755102042","N/A","100.54285714285714","N/A","304.68817204301075","N/A","712.8285714285714","N/A","3.9387169747479707","N/A","0.6721806516019395","N/A","3.4390937310064196","N/A"
"10","0.02","0.1","1.2","6","5000","0.0134","N/A","0.21875","N/A","186","N/A","351.21590909090907","N/A","745.4626865671642","N/A","4.090618725394783","N/A","0.7266644563877666","N/A","3.506168943980153","N/A"
"10","0.02","0.1","1.2","7","5000","0.016","N/A","0.24778761061946902","N/A","135.3658536585366","N/A","324.74074074074076","N/A","623.675","N/A","4.062878982836109","N/A","0.8201992995459052","N/A","3.9979978859028873","N/A"
"10","0.02","0.1","1.2","8","5000","0.0166","N/A","0.16346153846153846","N/A","162.2093023255814","N/A","299.21","N/A","600.2168674698795","N/A","4.150064306275174","N/A","0.6973290642107655","N/A","3.4985441052278694","N/A"
"10","0.02","0.1","1.2","9","5000","0.0158","N/A","0.23214285714285715","N/A","135.09756097560975","N/A","314.18095238095236","N/A","632.2151898734177","N/A","3.980038395347753","N/A","0.7579863755318322","N/A","3.759367943317975","N/A"
"10","0.02","0.1","1.2","10","5000","0.0144","N/A","0.23529411764705882","N/A","113.45833333333333","N/A","317.7291666666667","N/A","693.75","N/A","3.819212038459757","N/A","0.7117636433077585","N/A","3.5915529597579603","N/A"
"10","0.02","0.1","1.6","1","5000","0.0112","N/A","0.36633663366336633","N/A","111.57142857142857","N/A","388.13978494623655","N/A","892.1964285714286","N/A","3.787027036712591","N/A","0.9460854961194817","N/A","4.638612368949379","N/A"
"10","0.02","0.1","1.6","2","5000","0.0128","N/A","0.2871287128712871","N/A","89.96969696969697","N/A","322.13978494623655","N/A","780.5","N/A","3.8664375025978623","N/A","0.7268892669699509","N/A","3.7475531631449472","N/A"
"10","0.02","0.1","1.6","3","5000","0.0124","N/A","0.2871287128712871","N/A","174.265625","N/A","383.4835164835165","N/A","805.6774193548387","N/A","3.932432912445515","N/A","0.8781241708445426","N/A","4.252950531346329","N/A"
"10","0.02","0.1","1.6","4","5000","0.012","N/A","0.3106796116504854","N/A","94.19672131147541","N/A","348.2608695652174","N/A","832.6166666666667","N/A","3.8732588129121215","N/A","0.8093562054019158","N/A","4.067857182966928","N/A"
"10","0.02","0.1","1.6","5","5000","0.0134","N/A","0.22916666666666666","N/A","118.1159420289855","N/A","308.82022471910113","N/A","745.1641791044776","N/A","3.9525366026030877","N/A","0.6659678519951173","N/A","3.3814643186836855","N/A"
"10","0.02","0.1","1.6","6","5000","0.0122","N/A","0.30392156862745096","N/A","133.48387096774192","N/A","368.5978260869565","N/A","818.5573770491803","N/A","3.975425500241542","N/A","0.8663272670443001","N/A","4.29898666954437","N/A"
"10","0.02","0.1","1.6","7","5000","0.0172","N/A","0.2396694214876033","N/A","113.183908045977","N/A","312.88695652173914","N/A","579.9069767441861","N/A","3.9367456709139645","N/A","0.8495877515768893","N/A","4.16856622495417","N/A"
"10","0.02","0.1","1.6","8","5000","0.017","N/A","0.22123893805309736","N/A","120.75862068965517","N/A","299.26363636363635","N/A","587.2352941176471","N/A","4.178253039460618","N/A","0.7511104109549518","N/A","3.5945500545305933","N/A"
"10","0.02","0.1","1.6","9","5000","0.0138","N/A","0.32456140350877194","N/A","122.93150684931507","N/A","356.6981132075472","N/A","724","N/A","3.8481586114832345","N/A","0.941838155609762","N/A","4.766395429519573","N/A"
"10","0.02","0.1","1.6","10","5000","0.012","N/A","0.36936936936936937","N/A","185.109375","N/A","420.6732673267327","N/A","832.7833333333333","N/A","3.8850763749452173","N/A","1.0491426891431712","N/A","5.143742919000189","N/A"
"10","0.02","0.15","0.5","1","5000","0.0166","N/A","0.09278350515463918","N/A","117.855421686747","N/A","238.43478260869566","N/A","599.7349397590361","N/A","4.234658109043164","N/A","0.49558209006439186","N/A","2.446594937534577","N/A"
"10","0.02","0.15","0.5","2","5000","0.0172","N/A","0.18181818181818182","N/A","148.8735632183908","N/A","307.0566037735849","N/A","577.3488372093024","N/A","4.2810079429693015","N/A","0.7621350481820709","N/A","3.8055192172241745","N/A"
"10","0.02","0.15","0.5","3","5000","0.0192","N/A","0.13445378151260504","N/A","109.96907216494846","N/A","253.40178571428572","N/A","518.0208333333334","N/A","4.4594135588454344","N/A","0.6635506489928822","N/A","3.298227062514847","N/A"
"10","0.02","0.15","0.5","4","5000","0.0178","N/A","0.09900990099009901","N/A","126.71910112359551","N/A","248.72727272727272","N/A","558.6741573033707","N/A","4.1740691253963025","N/A","0.5642491221080721","N/A","2.8615370394129522","N/A"
"10","0.02","0.15","0.5","5","5000","0.015","N/A","0.125","N/A","121.73684210526316","N/A","248.91860465116278","N/A","663.1466666666666","N/A","4.2877079256319215","N/A","0.46753698130003907","N/A","2.3021396005795456","N/A"
"10","0.02","0.15","0.5","6","5000","0.0158","N/A","0.20869565217391303","N/A","148.6867469879518","N/A","310.31067961165047","N/A","627.4430379746835","N/A","4.281490964931701","N/A","0.7993913130355303","N/A","3.8623120946937526","N/A"
"10","0.02","0.15","0.5","7","5000","0.0142","N/A","0.17894736842105263","N/A","102.40277777777777","N/A","271.4886363636364","N/A","702.5352112676056","N/A","4.109432783137762","N/A","0.5609981289488648","N/A","2.8467357686329415","N/A"
"10","0.02","0.15","0.5","8","5000","0.0194","N/A","0.12698412698412698","N/A","141.8080808080808","N/A","279.08849557522126","N/A","513.6288659793814","N/A","4.263460314286731","N/A","0.7571855433464633","N/A","3.836974738116595","N/A"
"10","0.02","0.15","0.5","9","5000","0.0168","N/A","0.1553398058252427","N/A","126.75862068965517","N/A","263.75","N/A","592.4880952380952","N/A","4.154911575190535","N/A","0.605048143826652","N/A","3.03538855948717","N/A"
"10","0.02","0.15","0.5","10","5000","0.02","N/A","0.08620689655172414","N/A","111.82","N/A","232.6","N/A","498.07","N/A","4.24269791440321","N/A","0.6116300630817091","N/A","2.944863368351174","N/A"
"10","0.02","0.15","0.8","1","5000","0.0156","N/A","0.25225225225225223","N/A","174.6","N/A","358.1320754716981","N/A","639.525641025641","N/A","3.928987548485971","N/A","0.8882453442658438","N/A","4.428512782860727","N/A"
"10","0.02","0.15","0.8","2","5000","0.015","N/A","0.24545454545454545","N/A","128.3116883116883","N/A","319.01960784313724","N/A","663.2","N/A","4.105698623642477","N/A","0.7716545207631176","N/A","3.8912810594976626","N/A"
"10","0.02","0.15","0.8","3","5000","0.0178","N/A","0.22131147540983606","N/A","155.13978494623655","N/A","323.5689655172414","N/A","557.7528089887641","N/A","4.286687393462715","N/A","0.8948419463877352","N/A","4.142405046283122","N/A"
"10","0.02","0.15","0.8","4","5000","0.0152","N/A","0.17475728155339806","N/A","144","N/A","303","N/A","655.7894736842105","N/A","4.010194563960466","N/A","0.6678491012512183","N/A","3.4834183249162334","N/A"
"10","0.02","0.15","0.8","5","5000","0.0138","N/A","0.25742574257425743","N/A","163.48611111111111","N/A","352.9789473684211","N/A","723.4057971014493","N/A","4.0794972308523105","N/A","0.8232068350029081","N/A","3.8934343006760916","N/A"
"10","0.02","0.15","0.8","6","5000","0.0152","N/A","0.20192307692307693","N/A","147.05194805194805","N/A","320.92783505154637","N/A","656.671052631579","N/A","3.917328844212298","N/A","0.7468403809033288","N/A","3.5826890654708694","N/A"
"10","0.02","0.15","0.8","7","5000","0.0124","N/A","0.2631578947368421","N/A","132.5","N/A","335.35632183908046","N/A","803.7096774193549","N/A","3.9007426733679837","N/A","0.7228621911545723","N/A","3.6111178092020544","N/A"
"10","0.02","0.15","0.8","8","5000","0.012","N/A","0.2765957446808511","N/A","106.18032786885246","N/A","328.66279069767444","N/A","831.0833333333334","N/A","3.9012686478418632","N/A","0.7051205522740169","N/A","3.604871022030072","N/A"
"10","0.02","0.15","0.8","9","5000","0.013","N/A","0.2087912087912088","N/A","152.96969696969697","N/A","335.0238095238095","N/A","767.2615384615384","N/A","3.95137539781328","N/A","0.6454001140016773","N/A","3.348674868427525","N/A"
"10","0.02","0.15","0.8","10","5000","0.0146","N/A","0.22641509433962265","N/A","123.02666666666667","N/A","310.02061855670104","N/A","683.4383561643835","N/A","3.8985944272180264","N/A","0.7509885732215648","N/A","3.615959618794631","N/A"
"10","0.02","0.15","1.2","1","5000","0.01","N/A","0.3626373626373626","N/A","104.32","N/A","393.1807228915663","N/A","999.2","N/A","3.908156321866205","N/A","0.8159926789255967","N/A","4.02027224445255","N/A"
"10","0.02","0.15","1.2","2","5000","0.0114","N/A","0.38613861386138615","N/A","185.8793103448276","N/A","435.1770833333333","N/A","875.4561403508771","N/A","3.800667315487127","N/A","1.042941199633478","N/A","4.945939906167131","N/A"
"10","0.02","0.15","1.2","3","5000","0.0132","N/A","0.28703703703703703","N/A","118.04411764705883","N/A","338.9896907216495","N/A","755.939393939394","N/A","3.5933041878792524","N/A","0.8141469076449963","N/A","4.073518267367887","N/A"
"10","0.02","0.15","1.2","4","5000","0.0118","N/A","0.36633663366336633","N/A","135.74193548387098","N/A","379.4166666666667","N/A","845.2542372881356","N/A","3.841302113904272","N/A","0.8883824639456054","N/A","4.315394329291321","N/A"
"10","0.02","0.15","1.2","5","5000","0.0142","N/A","0.2777777777777778","N/A","117.75342465753425","N/A","345.2772277227723","N/A","703.8591549295775","N/A","3.883405150212507","N/A","0.8421375349522283","N/A","4.250943558821498","N/A"
