"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"xsycon.nlogo"
"x-sycon experiment"
"10/20/2025 03:06:46:321 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-carriers","p-new-DE","max-blocked-frac","kappa","run-seed","[step]","service-throughput","miss-rate","mean-ttfr","mean-latency","energy-per-task","coverage-entropy","field-mean","field-var"
"13","10","0.02","0.1","0.8","3","5000","0.0166","0.15151515151515152","120.88235294117646","255.39795918367346","599.3253012048193","4.3184078975959705","0.5341465680794505","2.7009487343469063"
"14","10","0.02","0.1","0.8","4","5000","0.017","0.17857142857142858","137.4022988505747","293.1904761904762","586","4.285922320615043","0.7469267508779346","3.8423064022092737"
"15","10","0.02","0.1","0.8","5","5000","0.013","0.20454545454545456","132.0909090909091","299.2048192771084","767.6923076923077","4.149987110328665","0.5770220240661087","2.759229028766999"
"16","10","0.02","0.1","0.8","6","5000","0.012","0.27956989247311825","117.42622950819673","331.5581395348837","830.6666666666666","4.022577484353263","0.7075676869012515","3.811679174955097"
"17","10","0.02","0.1","0.8","7","5000","0.0162","0.19047619047619047","161.86904761904762","304.7227722772277","615.4938271604939","4.012778208658391","0.7189320235517014","3.7403598771361075"
"18","10","0.02","0.1","0.8","8","5000","0.0156","0.22115384615384615","138.7","310.28712871287127","639.4230769230769","4.142764133702721","0.7414893846838426","3.7395193805784475"
"19","10","0.02","0.1","0.8","9","5000","0.0164","0.17475728155339806","149.9156626506024","292.51","607.1341463414634","4.209985348043314","0.6537070904047643","3.1603395257042326"
"20","10","0.02","0.1","0.8","10","5000","0.0186","0.13675213675213677","159.05263157894737","299.3761467889908","536.3548387096774","4.273726809984422","0.800197790641382","4.022527336542551"
"21","10","0.02","0.1","1.2","1","5000","0.0112","0.3010752688172043","133.56140350877192","362.5833333333333","891.6428571428571","4.039883539164298","0.733424368291877","3.7158191759724852"
"22","10","0.02","0.1","1.2","2","5000","0.0142","0.24752475247524752","146.73333333333332","321.8333333333333","702.5070422535211","3.993650799148715","0.7379757184542526","3.743872074389529"
"23","10","0.02","0.1","1.2","3","5000","0.0146","0.20833333333333334","148.98666666666668","320","684.1917808219179","4.222528124487697","0.6976375855676088","3.5187435441373434"
